timestamp,tool,batch_size,precision,power_consumption_kwh,co2_emissions_kg,runtime_seconds,status
2025-11-30T21:08:08.767136,eco2ai,4,fp32,2.9764641605682607e-06,1.2332086310066416e-06,42.84906816482544,success
2025-11-30T21:08:51.822903,eco2ai,4,fp16,2.780350579317504e-06,1.1519548520228282e-06,39.55549097061157,success
2025-11-30T21:09:27.092816,eco2ai,16,fp32,2.2890822158910852e-06,9.484125436879944e-07,31.538047075271606,success
2025-11-30T21:09:58.361534,eco2ai,16,fp16,1.9960989447361045e-06,8.270237147830628e-07,27.884685754776,success
2025-11-30T21:10:33.626205,eco2ai,64,fp32,2.668167939551343e-06,1.1054753407149125e-06,30.411267042160034,success
2025-11-30T21:11:04.043336,eco2ai,64,fp16,2.2732248984243597e-06,9.418425399151807e-07,27.026957035064697,success
2025-11-30T21:11:39.399788,eco2ai,256,fp32,2.143845240289769e-06,8.882379599568571e-07,30.351519107818604,success
2025-11-30T21:12:09.099354,eco2ai,256,fp16,3.213060194782808e-06,1.331235099902413e-06,25.84735608100891,success
